disease,rank,drug,drugbank,score
"Carcinoma, Renal Cell",29,DB06287,DB06287,1.86
"Carcinoma, Renal Cell",30,DB00530,DB00530,1.80
"Carcinoma, Renal Cell",31,DB09256,DB09256,1.78
"Carcinoma, Renal Cell",32,DB06626,DB06626,1.76
"Carcinoma, Renal Cell",33,DB01042,DB01042,1.50
"Carcinoma, Renal Cell",34,mitoxantrone,DB01204,1.39
"Carcinoma, Renal Cell",35,DB00309,DB00309,1.37
"Carcinoma, Renal Cell",36,DB12947,DB12947,1.32
"Carcinoma, Renal Cell",37,vinblastine,DB00570,1.31
"Carcinoma, Renal Cell",38,DB01197,DB01197,1.26
"Carcinoma, Renal Cell",39,teniposide,DB00444,1.26
"Carcinoma, Renal Cell",40,DB13832,DB13832,1.20
"Carcinoma, Renal Cell",41,DB04572,DB04572,1.17
"Carcinoma, Renal Cell",42,DB01073,DB01073,1.15
"Carcinoma, Renal Cell",43,DB00262,DB00262,1.13
"Carcinoma, Renal Cell",44,DB03209,DB03209,1.03
"Carcinoma, Renal Cell",45,DB01390,DB01390,0.95
"Carcinoma, Renal Cell",46,DB00783,DB00783,0.90
"Carcinoma, Renal Cell",47,DB00385,DB00385,0.90
"Carcinoma, Renal Cell",48,DB09074,DB09074,0.88
"Carcinoma, Renal Cell",49,DB01029,DB01029,0.88
"Carcinoma, Renal Cell",50,DB00947,DB00947,0.85
Pemphigus,1,DB00864,DB00864,10.92
Pemphigus,2,DB00620,DB00620,10.50
Pemphigus,3,DB01234,DB01234,9.94
Pemphigus,4,methylprednisolone,DB00959,9.80
Pemphigus,5,DB00443,DB00443,9.79
Pemphigus,6,DB00741,DB00741,9.26
Pemphigus,7,prednisone,DB00635,9.02
Pemphigus,8,DB01380,DB01380,8.76
Pemphigus,9,DB00545,DB00545,7.09
Pemphigus,10,DB11611,DB11611,6.74
Pemphigus,11,DB09053,DB09053,6.68
Pemphigus,12,vinorelbine,DB00361,4.39
Pemphigus,13,ursodiol,DB01586,4.13
Pemphigus,14,DB00608,DB00608,3.55
Pemphigus,15,DB01611,DB01611,2.04
Pemphigus,16,methotrexate,DB00563,1.64
Pemphigus,17,leflunomide,DB01097,0.91
Pemphigus,18,lomustine,DB01206,0.66
Pemphigus,19,DB00945,DB00945,0.62
Pemphigus,20,DB11817,DB11817,0.52
Pemphigus,21,DB00770,DB00770,0.46
Pemphigus,22,DB01013,DB01013,0.40
Pemphigus,23,DB06210,DB06210,0.38
Pemphigus,24,DB14512,DB14512,0.37
Pemphigus,25,vinblastine,DB00570,0.36
Pemphigus,26,DB00759,DB00759,0.33
Pemphigus,27,mitoxantrone,DB01204,0.30
Pemphigus,28,cytarabine,DB00987,0.28
Pemphigus,29,DB06769,DB06769,0.26
Pemphigus,30,teniposide,DB00444,0.21
Pemphigus,31,DB00591,DB00591,0.20
Pemphigus,32,DB00309,DB00309,0.20
Pemphigus,33,DB00262,DB00262,0.20
Pemphigus,34,bleomycin,DB00290,0.19
Pemphigus,35,clopidogrel,DB00758,0.19
Pemphigus,36,DB01260,DB01260,0.18
Pemphigus,37,DB13832,DB13832,0.18
Pemphigus,38,DB03904,DB03904,0.17
Pemphigus,39,DB01073,DB01073,0.16
Pemphigus,40,etoposide,DB00773,0.16
Pemphigus,41,DB11921,DB11921,0.16
Pemphigus,42,budesonide,DB01222,0.15
Pemphigus,43,DB01042,DB01042,0.14
Pemphigus,44,DB01181,DB01181,0.12
Pemphigus,45,DB00250,DB00250,0.11
Pemphigus,46,DB00663,DB00663,0.11
Pemphigus,47,vincristine,DB00541,0.10
Pemphigus,48,DB00253,DB00253,0.10
Pemphigus,49,piroxicam,DB00554,0.08
Pemphigus,50,auranofin,DB00995,0.08
"Carcinoma, Non-Small-Cell Lung",1,chlorambucil,DB00291,24.13
"Carcinoma, Non-Small-Cell Lung",2,cytarabine,DB00987,6.10
"Carcinoma, Non-Small-Cell Lung",3,DB00309,DB00309,5.99
"Carcinoma, Non-Small-Cell Lung",4,methotrexate,DB00563,5.77
"Carcinoma, Non-Small-Cell Lung",5,mitoxantrone,DB01204,5.26
"Carcinoma, Non-Small-Cell Lung",6,teniposide,DB00444,4.72
"Carcinoma, Non-Small-Cell Lung",7,bleomycin,DB00290,4.67
"Carcinoma, Non-Small-Cell Lung",8,prednisone,DB00635,4.29
"Carcinoma, Non-Small-Cell Lung",9,DB00262,DB00262,4.19
"Carcinoma, Non-Small-Cell Lung",10,etoposide,DB00773,3.94
"Carcinoma, Non-Small-Cell Lung",11,DB00305,DB00305,3.83
"Carcinoma, Non-Small-Cell Lung",12,vincristine,DB00541,3.62
"Carcinoma, Non-Small-Cell Lung",13,DB01073,DB01073,3.53
"Carcinoma, Non-Small-Cell Lung",14,DB01181,DB01181,3.43
"Carcinoma, Non-Small-Cell Lung",15,fluorouracil,DB00544,3.20
"Carcinoma, Non-Small-Cell Lung",16,DB13832,DB13832,3.03
"Carcinoma, Non-Small-Cell Lung",17,doxorubicin,DB00997,2.57
"Carcinoma, Non-Small-Cell Lung",18,DB01042,DB01042,2.56
"Carcinoma, Non-Small-Cell Lung",19,prednisolone,DB00860,2.46
"Carcinoma, Non-Small-Cell Lung",20,DB01033,DB01033,2.46
"Carcinoma, Non-Small-Cell Lung",21,paclitaxel,DB01229,2.42
"Carcinoma, Non-Small-Cell Lung",22,DB01248,DB01248,2.15
"Carcinoma, Non-Small-Cell Lung",23,vinblastine,DB00570,2.11
"Carcinoma, Non-Small-Cell Lung",24,lomustine,DB01206,1.93
"Carcinoma, Non-Small-Cell Lung",25,DB03209,DB03209,1.71
"Carcinoma, Non-Small-Cell Lung",26,venetoclax,DB11581,1.52
"Carcinoma, Non-Small-Cell Lung",27,DB01234,DB01234,1.50
"Carcinoma, Non-Small-Cell Lung",28,idarubicin,DB01177,1.47
"Carcinoma, Non-Small-Cell Lung",29,streptozocin,DB00428,1.40
"Carcinoma, Non-Small-Cell Lung",30,imatinib,DB00619,1.27
"Carcinoma, Non-Small-Cell Lung",31,methylprednisolone,DB00959,1.25
"Carcinoma, Non-Small-Cell Lung",32,daunorubicin,DB00694,1.23
"Carcinoma, Non-Small-Cell Lung",33,DB00631,DB00631,1.13
"Carcinoma, Non-Small-Cell Lung",34,DB00443,DB00443,1.11
"Carcinoma, Non-Small-Cell Lung",35,dasatinib,DB01254,1.10
"Carcinoma, Non-Small-Cell Lung",36,DB09063,DB09063,1.09
"Carcinoma, Non-Small-Cell Lung",37,DB08865,DB08865,1.09
"Carcinoma, Non-Small-Cell Lung",38,DB00317,DB00317,1.08
"Carcinoma, Non-Small-Cell Lung",39,DB00741,DB00741,0.98
"Carcinoma, Non-Small-Cell Lung",40,DB01380,DB01380,0.94
"Carcinoma, Non-Small-Cell Lung",41,DB09054,DB09054,0.92
"Carcinoma, Non-Small-Cell Lung",42,DB11952,DB11952,0.92
"Carcinoma, Non-Small-Cell Lung",43,DB00620,DB00620,0.91
"Carcinoma, Non-Small-Cell Lung",44,DB06769,DB06769,0.85
"Carcinoma, Non-Small-Cell Lung",45,DB09053,DB09053,0.84
"Carcinoma, Non-Small-Cell Lung",46,capecitabine,DB01101,0.50
"Carcinoma, Non-Small-Cell Lung",47,gemcitabine,DB00441,0.48
"Carcinoma, Non-Small-Cell Lung",48,DB00242,DB00242,0.45
"Carcinoma, Non-Small-Cell Lung",49,DB06151,DB06151,0.40
"Carcinoma, Non-Small-Cell Lung",50,DB09256,DB09256,0.39
Hyperthyroidism,1,DB00550,DB00550,18.12
Hyperthyroidism,2,DB11191,DB11191,16.74
Hyperthyroidism,3,DB00115,DB00115,16.71
Hyperthyroidism,4,DB09293,DB09293,16.70
Hyperthyroidism,5,DB11190,DB11190,15.94
Hyperthyroidism,6,DB00451,DB00451,12.95
Hyperthyroidism,7,DB00279,DB00279,12.88
Hyperthyroidism,8,methylprednisolone,DB00959,8.91
Hyperthyroidism,9,prednisolone,DB00860,7.54
Hyperthyroidism,10,DB00443,DB00443,6.12
Hyperthyroidism,11,DB01234,DB01234,5.41
Hyperthyroidism,12,DB01599,DB01599,1.63
Hyperthyroidism,13,DB01380,DB01380,1.02
Hyperthyroidism,14,DB00741,DB00741,0.98
Hyperthyroidism,15,prednisone,DB00635,0.97
Hyperthyroidism,16,DB00620,DB00620,0.96
Hyperthyroidism,17,DB08887,DB08887,0.92
Hyperthyroidism,18,DB00351,DB00351,0.50
Hyperthyroidism,19,DB00470,DB00470,0.44
Hyperthyroidism,20,DB01157,DB01157,0.38
Hyperthyroidism,21,DB01232,DB01232,0.37
Hyperthyroidism,22,paclitaxel,DB01229,0.37
Hyperthyroidism,23,DB00977,DB00977,0.37
Hyperthyroidism,24,DB01072,DB01072,0.36
Hyperthyroidism,25,DB06791,DB06791,0.32
Hyperthyroidism,26,calcitriol,DB00136,0.31
Hyperthyroidism,27,DB01045,DB01045,0.31
Hyperthyroidism,28,DB00314,DB00314,0.29
Hyperthyroidism,29,DB01201,DB01201,0.28
Hyperthyroidism,30,fluorouracil,DB00544,0.28
Hyperthyroidism,31,rifabutin,DB00615,0.28
Hyperthyroidism,32,etoposide,DB00773,0.27
Hyperthyroidism,33,DB00609,DB00609,0.26
Hyperthyroidism,34,DB00339,DB00339,0.26
Hyperthyroidism,35,DB01181,DB01181,0.26
Hyperthyroidism,36,DB00951,DB00951,0.25
Hyperthyroidism,37,DB00233,DB00233,0.24
Hyperthyroidism,38,DB00783,DB00783,0.24
Hyperthyroidism,39,DB00717,DB00717,0.22
Hyperthyroidism,40,DB01108,DB01108,0.21
Hyperthyroidism,41,cytarabine,DB00987,0.21
Hyperthyroidism,42,DB01278,DB01278,0.19
Hyperthyroidism,43,amphotericin,DB00681,0.18
Hyperthyroidism,44,mitotane,DB00648,0.17
Hyperthyroidism,45,DB00618,DB00618,0.16
Hyperthyroidism,46,DB00655,DB00655,0.16
Hyperthyroidism,47,DB01070,DB01070,0.14
Hyperthyroidism,48,clopidogrel,DB00758,0.14
Hyperthyroidism,49,DB08907,DB08907,0.14
Hyperthyroidism,50,DB11195,DB11195,0.13
Urinary Bladder Neoplasms,1,methotrexate,DB00563,10.02
Urinary Bladder Neoplasms,2,bleomycin,DB00290,8.32
Urinary Bladder Neoplasms,3,cytarabine,DB00987,8.18
Urinary Bladder Neoplasms,4,etoposide,DB00773,7.55
Urinary Bladder Neoplasms,5,vincristine,DB00541,7.31
Urinary Bladder Neoplasms,6,teniposide,DB00444,7.23
Urinary Bladder Neoplasms,7,DB00309,DB00309,7.14
Urinary Bladder Neoplasms,8,doxorubicin,DB00997,7.09
Urinary Bladder Neoplasms,9,DB01073,DB01073,7.05
Urinary Bladder Neoplasms,10,prednisolone,DB00860,6.66
Urinary Bladder Neoplasms,11,DB01181,DB01181,6.65
Urinary Bladder Neoplasms,12,DB01033,DB01033,6.57
Urinary Bladder Neoplasms,13,DB01042,DB01042,6.09
Urinary Bladder Neoplasms,14,DB00741,DB00741,6.00
Urinary Bladder Neoplasms,15,paclitaxel,DB01229,5.85
Urinary Bladder Neoplasms,16,DB00443,DB00443,5.69
Urinary Bladder Neoplasms,17,lomustine,DB01206,5.67
Urinary Bladder Neoplasms,18,vinorelbine,DB00361,5.67
Urinary Bladder Neoplasms,19,methylprednisolone,DB00959,5.56
Urinary Bladder Neoplasms,20,daunorubicin,DB00694,5.52
Urinary Bladder Neoplasms,21,imatinib,DB00619,5.48
Urinary Bladder Neoplasms,22,DB00631,DB00631,5.33
Urinary Bladder Neoplasms,23,DB00620,DB00620,5.33
Urinary Bladder Neoplasms,24,DB00482,DB00482,5.26
Urinary Bladder Neoplasms,25,azathioprine,DB00993,4.90
Urinary Bladder Neoplasms,26,idarubicin,DB01177,4.85
Urinary Bladder Neoplasms,27,prednisone,DB00635,4.68
Urinary Bladder Neoplasms,28,DB08871,DB08871,4.55
Urinary Bladder Neoplasms,29,DB00244,DB00244,4.28
Urinary Bladder Neoplasms,30,auranofin,DB00995,4.28
Urinary Bladder Neoplasms,31,DB00523,DB00523,4.27
Urinary Bladder Neoplasms,32,sulfasalazine,DB00795,4.19
Urinary Bladder Neoplasms,33,DB01014,DB01014,4.15
Urinary Bladder Neoplasms,34,DB01250,DB01250,4.05
Urinary Bladder Neoplasms,35,cyclosporine,DB00091,3.94
Urinary Bladder Neoplasms,36,DB00642,DB00642,3.90
Urinary Bladder Neoplasms,37,DB01065,DB01065,3.67
Urinary Bladder Neoplasms,38,DB00282,DB00282,3.30
Urinary Bladder Neoplasms,39,DB00262,DB00262,3.20
Urinary Bladder Neoplasms,40,budesonide,DB01222,3.13
Urinary Bladder Neoplasms,41,venetoclax,DB11581,3.10
Urinary Bladder Neoplasms,42,DB00771,DB00771,2.86
Urinary Bladder Neoplasms,43,DB13832,DB13832,2.68
Urinary Bladder Neoplasms,44,DB01380,DB01380,2.63
Urinary Bladder Neoplasms,45,DB14539,DB14539,2.48
Urinary Bladder Neoplasms,46,DB01248,DB01248,2.19
Urinary Bladder Neoplasms,47,thalidomide,DB01041,1.91
Urinary Bladder Neoplasms,48,DB00305,DB00305,1.74
Urinary Bladder Neoplasms,49,DB01234,DB01234,1.68
Urinary Bladder Neoplasms,50,capecitabine,DB01101,1.66
Anxiety Disorders,1,DB00285,DB00285,9.11
Anxiety Disorders,2,DB00215,DB00215,9.11
Anxiety Disorders,3,DB00176,DB00176,8.55
Anxiety Disorders,4,DB01068,DB01068,7.58
Anxiety Disorders,5,DB01553,DB01553,7.25
Anxiety Disorders,6,DB00186,DB00186,7.08
Anxiety Disorders,7,DB00475,DB00475,6.65
Anxiety Disorders,8,DB00904,DB00904,6.57
Anxiety Disorders,9,diazepam,DB00829,6.46
Anxiety Disorders,10,DB01238,DB01238,6.38
Anxiety Disorders,11,DB00575,DB00575,6.33
Anxiety Disorders,12,DB01558,DB01558,6.13
Anxiety Disorders,13,DB08872,DB08872,6.13
Anxiety Disorders,14,DB09166,DB09166,6.10
Anxiety Disorders,15,DB01175,DB01175,6.07
Anxiety Disorders,16,DB00794,DB00794,5.79
Anxiety Disorders,17,DB00490,DB00490,5.69
Anxiety Disorders,18,DB01156,DB01156,5.67
Anxiety Disorders,19,DB01151,DB01151,5.65
Anxiety Disorders,20,DB00540,DB00540,5.58
Anxiety Disorders,21,DB00458,DB00458,5.56
Anxiety Disorders,22,DB01230,DB01230,5.26
Anxiety Disorders,23,DB06700,DB06700,5.12
Anxiety Disorders,24,DB00391,DB00391,5.05
Anxiety Disorders,25,DB00370,DB00370,4.93
Anxiety Disorders,26,DB01247,DB01247,4.88
Anxiety Disorders,27,zonisamide,DB00909,4.84
Anxiety Disorders,28,DB00543,DB00543,4.83
Anxiety Disorders,29,DB00182,DB00182,4.47
Anxiety Disorders,30,DB01224,DB01224,4.36
Anxiety Disorders,31,DB09128,DB09128,4.32
Anxiety Disorders,32,DB01576,DB01576,4.13
Anxiety Disorders,33,DB00388,DB00388,4.12
Anxiety Disorders,34,DB00422,DB00422,4.12
Anxiety Disorders,35,DB00745,DB00745,4.04
Anxiety Disorders,36,DB01255,DB01255,3.86
Anxiety Disorders,37,DB01018,DB01018,3.85
Anxiety Disorders,38,DB00628,DB00628,3.25
Anxiety Disorders,39,DB01545,DB01545,3.08
Anxiety Disorders,40,DB00289,DB00289,2.93
Anxiety Disorders,41,DB02679,DB02679,2.58
Anxiety Disorders,42,DB00704,DB00704,2.25
Anxiety Disorders,43,DB00334,DB00334,2.01
Anxiety Disorders,44,DB01200,DB01200,1.79
Anxiety Disorders,45,DB00564,DB00564,1.71
Anxiety Disorders,46,DB00776,DB00776,1.63
Anxiety Disorders,47,levetiracetam,DB01202,1.56
Anxiety Disorders,48,tramadol,DB00193,1.40
Anxiety Disorders,49,DB00659,DB00659,1.38
Anxiety Disorders,50,DB06413,DB06413,1.20
"Anemia, Hemolytic, Autoimmune",1,DB01234,DB01234,10.52
"Anemia, Hemolytic, Autoimmune",2,DB00864,DB00864,10.48
"Anemia, Hemolytic, Autoimmune",3,DB00620,DB00620,10.47
"Anemia, Hemolytic, Autoimmune",4,DB00443,DB00443,10.30
"Anemia, Hemolytic, Autoimmune",5,DB00741,DB00741,9.44
"Anemia, Hemolytic, Autoimmune",6,prednisone,DB00635,9.18
"Anemia, Hemolytic, Autoimmune",7,DB01380,DB01380,9.08
"Anemia, Hemolytic, Autoimmune",8,DB00945,DB00945,8.50
"Anemia, Hemolytic, Autoimmune",9,DB01611,DB01611,7.77
"Anemia, Hemolytic, Autoimmune",10,DB00608,DB00608,7.49
"Anemia, Hemolytic, Autoimmune",11,DB00545,DB00545,6.87
"Anemia, Hemolytic, Autoimmune",12,methotrexate,DB00563,3.77
"Anemia, Hemolytic, Autoimmune",13,DB00682,DB00682,1.08
"Anemia, Hemolytic, Autoimmune",14,DB00770,DB00770,1.06
"Anemia, Hemolytic, Autoimmune",15,DB01219,DB01219,0.92
"Anemia, Hemolytic, Autoimmune",16,DB00806,DB00806,0.91
"Anemia, Hemolytic, Autoimmune",17,methimazole,DB00763,0.81
"Anemia, Hemolytic, Autoimmune",18,leflunomide,DB01097,0.76
"Anemia, Hemolytic, Autoimmune",19,ursodiol,DB01586,0.72
"Anemia, Hemolytic, Autoimmune",20,DB00550,DB00550,0.71
"Anemia, Hemolytic, Autoimmune",21,DB11191,DB11191,0.58
"Anemia, Hemolytic, Autoimmune",22,DB00115,DB00115,0.58
"Anemia, Hemolytic, Autoimmune",23,chlorambucil,DB00291,0.54
"Anemia, Hemolytic, Autoimmune",24,lomustine,DB01206,0.46
"Anemia, Hemolytic, Autoimmune",25,DB09293,DB09293,0.45
"Anemia, Hemolytic, Autoimmune",26,DB11190,DB11190,0.44
"Anemia, Hemolytic, Autoimmune",27,DB11817,DB11817,0.41
"Anemia, Hemolytic, Autoimmune",28,DB00393,DB00393,0.39
"Anemia, Hemolytic, Autoimmune",29,DB00627,DB00627,0.37
"Anemia, Hemolytic, Autoimmune",30,vinblastine,DB00570,0.25
"Anemia, Hemolytic, Autoimmune",31,DB05676,DB05676,0.22
"Anemia, Hemolytic, Autoimmune",32,budesonide,DB01222,0.18
"Anemia, Hemolytic, Autoimmune",33,DB00759,DB00759,0.17
"Anemia, Hemolytic, Autoimmune",34,DB06210,DB06210,0.16
"Anemia, Hemolytic, Autoimmune",35,cytarabine,DB00987,0.14
"Anemia, Hemolytic, Autoimmune",36,DB00351,DB00351,0.13
"Anemia, Hemolytic, Autoimmune",37,DB11921,DB11921,0.12
"Anemia, Hemolytic, Autoimmune",38,DB01260,DB01260,0.12
"Anemia, Hemolytic, Autoimmune",39,imatinib,DB00619,0.12
"Anemia, Hemolytic, Autoimmune",40,DB00279,DB00279,0.11
"Anemia, Hemolytic, Autoimmune",41,DB11611,DB11611,0.11
"Anemia, Hemolytic, Autoimmune",42,DB13832,DB13832,0.10
"Anemia, Hemolytic, Autoimmune",43,DB00591,DB00591,0.10
"Anemia, Hemolytic, Autoimmune",44,DB00451,DB00451,0.09
"Anemia, Hemolytic, Autoimmune",45,DB01240,DB01240,0.08
"Anemia, Hemolytic, Autoimmune",46,DB09053,DB09053,0.07
"Anemia, Hemolytic, Autoimmune",47,DB00309,DB00309,0.06
"Anemia, Hemolytic, Autoimmune",48,DB00663,DB00663,0.05
"Anemia, Hemolytic, Autoimmune",49,auranofin,DB00995,0.05
"Anemia, Hemolytic, Autoimmune",50,amlodipine,DB00381,0.05
Aspergillosis,1,amphotericin,DB00681,16.45
Aspergillosis,2,ketoconazole,DB01026,13.04
Aspergillosis,3,DB01099,DB01099,12.42
Aspergillosis,4,fluconazole,DB00196,11.84
Aspergillosis,5,DB01141,DB01141,10.41
Aspergillosis,6,DB08933,DB08933,10.37
Aspergillosis,7,DB06636,DB06636,9.65
Aspergillosis,8,DB00251,DB00251,9.40
Aspergillosis,9,DB00362,DB00362,9.06
Aspergillosis,10,DB00646,DB00646,9.02
Aspergillosis,11,DB01188,DB01188,6.54
Aspergillosis,12,DB01110,DB01110,2.81
Aspergillosis,13,prednisone,DB00635,2.36
Aspergillosis,14,DB00936,DB00936,1.70
Aspergillosis,15,DB00525,DB00525,1.61
Aspergillosis,16,DB00618,DB00618,1.01
Aspergillosis,17,DB09040,DB09040,0.95
Aspergillosis,18,DB00400,DB00400,0.82
Aspergillosis,19,DB09041,DB09041,0.80
Aspergillosis,20,DB09321,DB09321,0.69
Aspergillosis,21,DB01117,DB01117,0.53
Aspergillosis,22,DB00620,DB00620,0.49
Aspergillosis,23,DB00446,DB00446,0.34
Aspergillosis,24,DB00199,DB00199,0.32
Aspergillosis,25,prednisolone,DB00860,0.28
Aspergillosis,26,DB01234,DB01234,0.17
Aspergillosis,27,DB09293,DB09293,0.16
Aspergillosis,28,methylprednisolone,DB00959,0.13
Aspergillosis,29,DB00443,DB00443,0.12
Aspergillosis,30,DB00741,DB00741,0.07
Aspergillosis,31,DB09031,DB09031,0.07
Aspergillosis,32,DB01166,DB01166,0.04
Aspergillosis,33,DB01380,DB01380,0.02
Aspergillosis,34,metronidazole,DB00916,0.01
Aspergillosis,35,DB01059,DB01059,-0.01
Aspergillosis,36,clarithromycin,DB01211,-0.04
Aspergillosis,37,DB01165,DB01165,-0.04
Aspergillosis,38,DB01181,DB01181,-0.07
Aspergillosis,39,DB06781,DB06781,-0.08
Aspergillosis,40,DB01045,DB01045,-0.09
Aspergillosis,41,etoposide,DB00773,-0.09
Aspergillosis,42,mitotane,DB00648,-0.10
Aspergillosis,43,cytarabine,DB00987,-0.10
Aspergillosis,44,DB00359,DB00359,-0.10
Aspergillosis,45,DB01108,DB01108,-0.11
Aspergillosis,46,DB01037,DB01037,-0.13
Aspergillosis,47,DB14540,DB14540,-0.13
Aspergillosis,48,methotrexate,DB00563,-0.13
Aspergillosis,49,DB01058,DB01058,-0.13
Aspergillosis,50,DB00911,DB00911,-0.13
Squamous Cell Carcinoma of Head and Neck,1,methotrexate,DB00563,12.65
Squamous Cell Carcinoma of Head and Neck,2,mitoxantrone,DB01204,11.64
Squamous Cell Carcinoma of Head and Neck,3,chlorambucil,DB00291,9.96
Squamous Cell Carcinoma of Head and Neck,4,doxorubicin,DB00997,8.96
Squamous Cell Carcinoma of Head and Neck,5,vinblastine,DB00570,8.90
Squamous Cell Carcinoma of Head and Neck,6,DB01033,DB01033,8.90
Squamous Cell Carcinoma of Head and Neck,7,cytarabine,DB00987,8.34
Squamous Cell Carcinoma of Head and Neck,8,daunorubicin,DB00694,8.10
Squamous Cell Carcinoma of Head and Neck,9,paclitaxel,DB01229,8.04
Squamous Cell Carcinoma of Head and Neck,10,vinorelbine,DB00361,8.00
Squamous Cell Carcinoma of Head and Neck,11,azathioprine,DB00993,7.58
Squamous Cell Carcinoma of Head and Neck,12,prednisone,DB00635,7.38
Squamous Cell Carcinoma of Head and Neck,13,DB00523,DB00523,6.78
Squamous Cell Carcinoma of Head and Neck,14,vincristine,DB00541,6.51
Squamous Cell Carcinoma of Head and Neck,15,DB00631,DB00631,6.49
Squamous Cell Carcinoma of Head and Neck,16,DB01014,DB01014,6.40
Squamous Cell Carcinoma of Head and Neck,17,DB00244,DB00244,6.38
Squamous Cell Carcinoma of Head and Neck,18,DB01250,DB01250,4.61
Squamous Cell Carcinoma of Head and Neck,19,etoposide,DB00773,4.36
Squamous Cell Carcinoma of Head and Neck,20,teniposide,DB00444,4.16
Squamous Cell Carcinoma of Head and Neck,21,imatinib,DB00619,4.02
Squamous Cell Carcinoma of Head and Neck,22,idarubicin,DB01177,3.98
Squamous Cell Carcinoma of Head and Neck,23,DB00309,DB00309,3.83
Squamous Cell Carcinoma of Head and Neck,24,DB01073,DB01073,3.77
Squamous Cell Carcinoma of Head and Neck,25,DB00262,DB00262,3.68
Squamous Cell Carcinoma of Head and Neck,26,prednisolone,DB00860,3.38
Squamous Cell Carcinoma of Head and Neck,27,DB01181,DB01181,3.21
Squamous Cell Carcinoma of Head and Neck,28,DB13832,DB13832,2.73
Squamous Cell Carcinoma of Head and Neck,29,DB01042,DB01042,2.50
Squamous Cell Carcinoma of Head and Neck,30,DB08880,DB08880,2.24
Squamous Cell Carcinoma of Head and Neck,31,fluorouracil,DB00544,2.16
Squamous Cell Carcinoma of Head and Neck,32,DB00482,DB00482,1.93
Squamous Cell Carcinoma of Head and Neck,33,DB00788,DB00788,1.74
Squamous Cell Carcinoma of Head and Neck,34,DB01068,DB01068,1.73
Squamous Cell Carcinoma of Head and Neck,35,DB00712,DB00712,1.71
Squamous Cell Carcinoma of Head and Neck,36,venetoclax,DB11581,1.69
Squamous Cell Carcinoma of Head and Neck,37,DB01050,DB01050,1.59
Squamous Cell Carcinoma of Head and Neck,38,DB00305,DB00305,1.57
Squamous Cell Carcinoma of Head and Neck,39,cyclosporine,DB00091,1.56
Squamous Cell Carcinoma of Head and Neck,40,DB00605,DB00605,1.56
Squamous Cell Carcinoma of Head and Neck,41,DB00586,DB00586,1.55
Squamous Cell Carcinoma of Head and Neck,42,DB00945,DB00945,1.50
Squamous Cell Carcinoma of Head and Neck,43,DB00573,DB00573,1.50
Squamous Cell Carcinoma of Head and Neck,44,meloxicam,DB00814,1.49
Squamous Cell Carcinoma of Head and Neck,45,DB00500,DB00500,1.48
Squamous Cell Carcinoma of Head and Neck,46,thalidomide,DB01041,1.48
Squamous Cell Carcinoma of Head and Neck,47,DB00991,DB00991,1.46
Squamous Cell Carcinoma of Head and Neck,48,DB00861,DB00861,1.45
Squamous Cell Carcinoma of Head and Neck,49,DB01009,DB01009,1.45
Squamous Cell Carcinoma of Head and Neck,50,DB01296,DB01296,1.43
"Myoclonic Epilepsy, Juvenile",1,gabapentin,DB00996,19.54
"Myoclonic Epilepsy, Juvenile",2,DB00794,DB00794,18.98
"Myoclonic Epilepsy, Juvenile",3,DB00776,DB00776,18.26
"Myoclonic Epilepsy, Juvenile",4,DB01068,DB01068,14.40
"Myoclonic Epilepsy, Juvenile",5,DB00628,DB00628,0.80
"Myoclonic Epilepsy, Juvenile",6,DB01595,DB01595,0.73
"Myoclonic Epilepsy, Juvenile",7,DB00273,DB00273,0.69
"Myoclonic Epilepsy, Juvenile",8,DB01545,DB01545,0.67
"Myoclonic Epilepsy, Juvenile",9,prednisolone,DB00860,0.66
"Myoclonic Epilepsy, Juvenile",10,DB01234,DB01234,0.51
"Myoclonic Epilepsy, Juvenile",11,DB08824,DB08824,0.43
"Myoclonic Epilepsy, Juvenile",12,DB00593,DB00593,0.43
"Myoclonic Epilepsy, Juvenile",13,DB00347,DB00347,0.43
"Myoclonic Epilepsy, Juvenile",14,methylprednisolone,DB00959,0.41
"Myoclonic Epilepsy, Juvenile",15,DB01080,DB01080,0.39
"Myoclonic Epilepsy, Juvenile",16,DB00443,DB00443,0.33
"Myoclonic Epilepsy, Juvenile",17,prednisone,DB00635,0.33
"Myoclonic Epilepsy, Juvenile",18,fluoxetine,DB00472,0.30
"Myoclonic Epilepsy, Juvenile",19,DB00741,DB00741,0.23
"Myoclonic Epilepsy, Juvenile",20,DB01104,DB01104,0.21
"Myoclonic Epilepsy, Juvenile",21,clomipramine,DB01242,0.21
"Myoclonic Epilepsy, Juvenile",22,DB00620,DB00620,0.21
"Myoclonic Epilepsy, Juvenile",23,DB00715,DB00715,0.19
"Myoclonic Epilepsy, Juvenile",24,DB01203,DB01203,0.19
"Myoclonic Epilepsy, Juvenile",25,DB00843,DB00843,0.18
"Myoclonic Epilepsy, Juvenile",26,DB00404,DB00404,0.17
"Myoclonic Epilepsy, Juvenile",27,DB01219,DB01219,0.16
"Myoclonic Epilepsy, Juvenile",28,DB00349,DB00349,0.16
"Myoclonic Epilepsy, Juvenile",29,DB00502,DB00502,0.16
"Myoclonic Epilepsy, Juvenile",30,DB00181,DB00181,0.15
"Myoclonic Epilepsy, Juvenile",31,DB01037,DB01037,0.13
